user_id,signup_date
1,2023-04-13
2,2023-12-15
3,2023-09-28
4,2023-04-17
5,2023-03-13
6,2023-07-08
7,2023-01-21
8,2023-04-13
9,2023-05-02
10,2023-08-03
11,2023-11-27
12,2023-03-29
13,2023-04-10
14,2023-12-26
15,2023-06-01
16,2023-05-11
17,2023-05-30
18,2023-11-05
19,2023-09-15
20,2023-12-10
21,2023-10-21
22,2023-07-11
23,2023-10-04
24,2023-06-10
25,2023-11-10
26,2023-01-22
27,2023-09-10
28,2023-08-24
29,2023-12-11
30,2023-02-18
31,2023-02-28
32,2023-06-19
33,2023-07-07
34,2023-09-28
35,2023-07-09
36,2023-06-24
37,2023-02-20
38,2023-12-30
39,2023-02-24
40,2023-09-01
41,2023-11-16
42,2023-05-11
43,2023-11-03
44,2023-05-15
45,2023-01-21
46,2023-11-25
47,2023-06-16
48,2023-10-01
49,2023-03-30
50,2023-11-12
51,2023-01-14
52,2023-08-30
53,2023-09-22
54,2023-12-12
55,2023-02-22
56,2023-12-06
57,2023-04-02
58,2023-09-21
59,2023-02-04
60,2023-07-25
61,2023-03-22
62,2023-02-19
63,2023-12-26
64,2023-01-02
65,2023-02-23
66,2023-04-16
67,2023-09-17
68,2023-11-06
69,2023-07-10
70,2023-08-06
71,2023-02-13
72,2023-06-11
73,2023-07-21
74,2023-09-27
75,2023-12-17
76,2023-10-31
77,2023-09-28
78,2023-08-03
79,2023-09-09
80,2023-07-09
81,2023-10-23
82,2023-08-01
83,2023-07-27
84,2023-08-25
85,2023-12-04
86,2023-02-22
87,2023-10-07
88,2023-08-05
89,2023-09-09
90,2023-07-07
91,2023-02-10
92,2023-06-06
93,2023-01-15
94,2023-10-28
95,2023-03-06
96,2023-12-11
97,2023-11-23
98,2023-01-09
99,2023-12-10
100,2023-05-09
